street,zip,city,Use_Code,Tax_Year,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16545 Hamlin St,91406,VAN NUYS,SingleFamily,2018,350177.0,1951,6349,1085,1.0,3,603374
2325 Scott Ave,90026,LOS ANGELES,SingleFamily,2018,65240.0,1916,4791,1600,2.0,3,1123270
9645 Sylvia Ave,91324,NORTHRIDGE,SingleFamily,2018,938400.0,1960,16618,2905,3.0,4,955339
11651 Lyster Ave,91326,PORTER RANCH,SingleFamily,2018,664000.0,1973,8934,1446,2.0,3,722850
6130 Burwood Ave,90042,LOS ANGELES,SingleFamily,2018,227494.0,1912,5587,1195,2.0,3,836730
12180 Peoria St,91352,SUN VALLEY,SingleFamily,2018,346003.0,1955,7538,1658,2.0,4,603177
3987 Halldale Ave,90062,LOS ANGELES,SingleFamily,2018,464755.0,1910,6647,2496,1.0,3,714777
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10549 Wilsey Ave,91042,TUJUNGA,SingleFamily,2018,379955.0,1924,9779,1434,2.0,3,621639
3646 Hillcrest Dr,90016,LOS ANGELES,SingleFamily,2018,369691.0,1944,5997,1012,1.0,3,824003
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8622 Reseda Blvd,91324,Northridge,SingleFamily,2018,3100000.0,NA,18389,12310,NA,0,
11846 Balboa Blvd,91344,Granada Hills,VacantResidentialLand,2018,549234.0,1937,43560,2364,2.0,0,
7318 Denny Ave,91352,SUN VALLEY,SingleFamily,2018,336463.0,1954,7551,1680,3.0,3,599735
5333 Lemona Ave,91411,Sherman Oaks,SingleFamily,2018,254256.0,1951,7453,1986,3.0,3,996745
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1747 Nichols Canyon Rd,90046,LOS ANGELES,SingleFamily,2018,2109360.0,1915,7172,2211,3.0,3,2265912
433 Lagoon Ave,90744,WILMINGTON,SingleFamily,2018,373477.0,1951,8415,1058,1.0,3,413900
5740 Lemona Ave,91411,VAN NUYS,SingleFamily,2018,205267.0,1951,6889,1391,1.0,2,785276
5257 Lemp Ave,91601,NORTH HOLLYWOOD,SingleFamily,2018,821100.0,1936,6534,1361,2.0,3,951440
4338 S Raymond Ave,90037,LOS ANGELES,Duplex,2018,169843.0,1916,5287,1618,2.0,2,541370
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2037 Kendra Ct,90068,LOS ANGELES,SingleFamily,2018,1296895.0,1998,9948,3747,4.0,4,2394493
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14854 Gilmore St,91411,VAN NUYS,SingleFamily,2018,172069.0,1922,7499,860,1.0,2,567646
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900 Kelton Ave,90025,LOS ANGELES,SingleFamily,2018,1529585.0,1940,7425,2359,3.0,4,2127094
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1639 W 51st Pl,90062,LOS ANGELES,SingleFamily,2018,324270.0,1921,5227,1226,2.0,3,505378
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
